Name,Folder,Type,Drive Modified,Pinecone Modified,Change Signals,Reason,URL
"First Call Deck - Agentic Commerce","AllyAI","application/vnd.google-apps.presentation","2026-02-13","2026-02-13","dateChanged","","https://docs.google.com/presentation/d/1OTAKoxgOvSILDwYb6ev6mzJoVm9EBH8eePk3XL5v_mE/edit?usp=drivesdk"
"AllyAI Content Agent_2nd Call Slides","AllyAI/Content Agent","application/vnd.google-apps.presentation","2026-02-13","2026-02-13","dateChanged","","https://docs.google.com/presentation/d/15zKFbgUa2SS6H98tRWMQUEhsnxgAipegF8eErhLLjow/edit?usp=drivesdk"
"First Call & Content Agent Certification","Trainings","application/vnd.google-apps.presentation","2026-02-13","2026-02-13","dateChanged","","https://docs.google.com/presentation/d/1dvFn0dg_IphiLRNTMMuljNhZ2lMEKGebDxoRILMObE0/edit?usp=drivesdk"
